ProductID,ProductName,Quantity,UnitPrice
P001,Laptop,10,25000
P002,Smartphone,15,15000
P003,Tablet,20,12000
P004,Smartwatch,25,8000
P005,Desktop PC,8,30000
P006,Wireless Earbuds,30,2500
P007,Bluetooth Speaker,18,3500
P008,External Hard Drive,12,4500
P009,Monitor 24",14,5500
P010,Printer,10,6000
P011,Laptop 14",12,22000
P012,Laptop 15.6",10,28000
P013,Gaming Laptop,7,45000
P014,Router Wi-Fi 6,20,3200
P015,Network Switch 8-Port,15,2500
P016,Power Bank 20000mAh,25,1800
P017,USB Flash Drive 64GB,40,350
P018,USB Flash Drive 128GB,35,650
P019,Memory Card 64GB,30,450
P020,Memory Card 128GB,25,850
P021,Mechanical Keyboard,18,2900
P022,Wireless Keyboard,20,1200
P023,Wireless Mouse,25,800
P024,Gaming Mouse,22,1800
P025,Graphic Tablet,12,6500
P026,Drawing Pen Tablet,10,5500
P027,Webcam Full HD,16,2200
P028,Webcam 4K,8,4800
P029,Microphone USB,14,2500
P030,Studio Microphone,6,9500
P031,Headset Gaming,18,3200
P032,Headset Wireless,15,2800
P033,Projector Mini,8,7800
P034,Projector 4K,5,29000
P035,Smart TV 43",9,14500
P036,Smart TV 55",7,19500
P037,Smart TV 65",5,29500
P038,Smart Refrigerator,4,32500
P039,Microwave Oven,10,4500
P040,Air Conditioner 12000BTU,6,18500
P041,Air Purifier,12,6500
P042,Robot Vacuum,8,12500
P043,Washing Machine,5,17500
P044,Electric Fan,20,1500
P045,Blender,15,2200
P046,Induction Cooker,10,3800
P047,Rice Cooker,18,2800
P048,Coffee Maker,12,4200
P049,Hair Dryer,20,1200
P050,Electric Kettle,25,900
P051,Smart Light Bulb,30,500
P052,Smart Plug,28,700
P053,Smart Door Lock,10,8900
P054,Security Camera Wi-Fi,15,3200
P055,Drone Camera,7,18500
P056,Action Camera,9,9500
P057,DSLR Camera,6,32500
P058,Mirrorless Camera,5,29500
P059,Lens 50mm,8,7500
P060,Lens 18-55mm,6,14500